State,County,Year,Median_AQI
Alabama,Baldwin,2018,37
Alabama,Clay,2018,36
Alabama,Colbert,2018,37
Alabama,DeKalb,2018,36
Alabama,Elmore,2018,33
Alabama,Etowah,2018,48
Alabama,Houston,2018,37
Alabama,Jefferson,2018,56
Alabama,Lawrence,2018,31
Alabama,Madison,2018,49
Alabama,Mobile,2018,44
Alabama,Montgomery,2018,57
Alabama,Morgan,2018,44
Alabama,Russell,2018,48
Alabama,Shelby,2018,38
Alabama,Sumter,2018,31
Alabama,Tuscaloosa,2018,42
Alaska,Aleutians East ,2018,13
Alaska,Anchorage ,2018,30
Alaska,Bethel ,2018,19
Alaska,Denali ,2018,35
Alaska,Fairbanks North Star ,2018,40
Alaska,Juneau ,2018,31
Alaska,Kenai Peninsula ,2018,10
Alaska,Matanuska-Susitna ,2018,29
Arizona,Apache,2018,13
Arizona,Cochise,2018,45
Arizona,Coconino,2018,45
Arizona,Gila,2018,47
Arizona,La Paz,2018,44
Arizona,Maricopa,2018,71
Arizona,Mohave,2018,18
Arizona,Navajo,2018,44
Arizona,Pima,2018,52
Arizona,Pinal,2018,67
Arizona,Santa Cruz,2018,39
Arizona,Yavapai,2018,44
Arizona,Yuma,2018,49
Arkansas,Arkansas,2018,43
Arkansas,Ashley,2018,39
Arkansas,Clark,2018,31
Arkansas,Craighead,2018,46
Arkansas,Crittenden,2018,47
Arkansas,Garland,2018,42
Arkansas,Jackson,2018,41
Arkansas,Newton,2018,36
Arkansas,Polk,2018,40
Arkansas,Pulaski,2018,52
Arkansas,Union,2018,49
Arkansas,Washington,2018,48
California,Alameda,2018,57
California,Amador,2018,40
California,Butte,2018,59
California,Calaveras,2018,58
California,Colusa,2018,46
California,Contra Costa,2018,55
California,Del Norte,2018,33
California,El Dorado,2018,45
California,Fresno,2018,75
California,Glenn,2018,39
California,Humboldt,2018,35
California,Imperial,2018,64
California,Inyo,2018,49
California,Kern,2018,84
California,Kings,2018,70
California,Lake,2018,33
California,Los Angeles,2018,78
California,Madera,2018,58
California,Marin,2018,43
California,Mariposa,2018,53
California,Mendocino,2018,46
California,Merced,2018,56
California,Mono,2018,27
California,Monterey,2018,42
California,Napa,2018,46
California,Nevada,2018,45
California,Orange,2018,54
California,Placer,2018,46
California,Plumas,2018,47
California,Riverside,2018,87
California,Sacramento,2018,58
California,San Benito,2018,42
California,San Bernardino,2018,89
California,San Diego,2018,67
California,San Francisco,2018,44
California,San Joaquin,2018,59
California,San Luis Obispo,2018,53
California,San Mateo,2018,42
California,Santa Barbara,2018,51
California,Santa Clara,2018,53
California,Santa Cruz,2018,41
California,Shasta,2018,43
California,Siskiyou,2018,42
California,Solano,2018,50
California,Sonoma,2018,39
California,Stanislaus,2018,59
California,Sutter,2018,58
California,Tehama,2018,48
California,Trinity,2018,54
California,Tulare,2018,79
California,Tuolumne,2018,43
California,Ventura,2018,57
California,Yolo,2018,45
Colorado,Adams,2018,54
Colorado,Alamosa,2018,19
Colorado,Arapahoe,2018,46
Colorado,Archuleta,2018,38
Colorado,Boulder,2018,49
Colorado,Chaffee,2018,58
Colorado,Clear Creek,2018,51
Colorado,Delta,2018,36
Colorado,Denver,2018,54
Colorado,Douglas,2018,49
Colorado,El Paso,2018,47
Colorado,Fremont,2018,15
Colorado,Garfield,2018,48
Colorado,Grand,2018,47
Colorado,Gunnison,2018,47
Colorado,Jackson,2018,9
Colorado,Jefferson,2018,46
Colorado,La Plata,2018,45
Colorado,Larimer,2018,53
Colorado,Mesa,2018,49
Colorado,Moffat,2018,42
Colorado,Montezuma,2018,44
Colorado,Montrose,2018,42
Colorado,Park,2018,51
Colorado,Pitkin,2018,15
Colorado,Prowers,2018,16
Colorado,Pueblo,2018,29
Colorado,Rio Blanco,2018,47
Colorado,Routt,2018,15
Colorado,San Juan,2018,10
Colorado,San Miguel,2018,46
Colorado,Teller,2018,58
Colorado,Weld,2018,54
Connecticut,Fairfield,2018,46
Connecticut,Hartford,2018,42
Connecticut,Litchfield,2018,36
Connecticut,Middlesex,2018,40
Connecticut,New Haven,2018,44
Connecticut,New London,2018,39
Connecticut,Tolland,2018,38
Connecticut,Windham,2018,34
Country Of Mexico,BAJA CALIFORNIA NORTE,2018,76
Country Of Mexico,SONORA,2018,38
Delaware,Kent,2018,42
Delaware,New Castle,2018,48
Delaware,Sussex,2018,42
District Of Columbia,District of Columbia,2018,52
Florida,Alachua,2018,37
Florida,Baker,2018,31
Florida,Bay,2018,44
Florida,Brevard,2018,41
Florida,Broward,2018,49
Florida,Citrus,2018,43
Florida,Collier,2018,42
Florida,Columbia,2018,41
Florida,Duval,2018,51
Florida,Escambia,2018,38
Florida,Flagler,2018,32
Florida,Hamilton,2018,43
Florida,Highlands,2018,31
Florida,Hillsborough,2018,51
Florida,Holmes,2018,43
Florida,Indian River,2018,36
Florida,Lake,2018,33
Florida,Lee,2018,38
Florida,Leon,2018,46
Florida,Liberty,2018,31
Florida,Manatee,2018,34
Florida,Marion,2018,42
Florida,Martin,2018,42
Florida,Miami-Dade,2018,49
Florida,Nassau,2018,43
Florida,Okaloosa,2018,33
Florida,Orange,2018,40
Florida,Osceola,2018,33
Florida,Palm Beach,2018,42
Florida,Pasco,2018,35
Florida,Pinellas,2018,46
Florida,Polk,2018,39
Florida,Putnam,2018,14
Florida,Santa Rosa,2018,43
Florida,Sarasota,2018,45
Florida,Seminole,2018,39
Florida,St. Lucie,2018,33
Florida,Volusia,2018,41
Florida,Wakulla,2018,41
Georgia,Bibb,2018,42
Georgia,Charlton,2018,26
Georgia,Chatham,2018,44
Georgia,Chattooga,2018,35
Georgia,Clarke,2018,46
Georgia,Clayton,2018,44
Georgia,Cobb,2018,41
Georgia,Coffee,2018,29
Georgia,Columbia,2018,36
Georgia,Dawson,2018,35
Georgia,DeKalb,2018,49
Georgia,Dougherty,2018,39
Georgia,Douglas,2018,37
Georgia,Floyd,2018,52
Georgia,Fulton,2018,52
Georgia,Glynn,2018,35
Georgia,Gwinnett,2018,52
Georgia,Hall,2018,41
Georgia,Henry,2018,38
Georgia,Houston,2018,46
Georgia,Lowndes,2018,49
Georgia,Murray,2018,37
Georgia,Muscogee,2018,39
Georgia,Pike,2018,33
Georgia,Richmond,2018,47
Georgia,Rockdale,2018,36
Georgia,Sumter,2018,34
Georgia,Walker,2018,47
Georgia,Washington,2018,37
Hawaii,Hawaii,2018,55
Hawaii,Honolulu,2018,31
Hawaii,Kauai,2018,18
Hawaii,Maui,2018,25
Idaho,Ada,2018,42
Idaho,Bannock,2018,29
Idaho,Benewah,2018,53
Idaho,Blaine,2018,17
Idaho,Boise,2018,52
Idaho,Bonner,2018,39
Idaho,Bonneville,2018,36
Idaho,Butte,2018,41
Idaho,Canyon,2018,35
Idaho,Custer,2018,7
Idaho,Franklin,2018,25
Idaho,Idaho,2018,43
Idaho,Jerome,2018,24
