State,County,Year,Median_AQI
Alabama,Baldwin,2019,40
Alabama,Clay,2019,41
Alabama,Colbert,2019,38
Alabama,DeKalb,2019,39
Alabama,Elmore,2019,39
Alabama,Etowah,2019,44
Alabama,Houston,2019,38
Alabama,Jefferson,2019,58
Alabama,Lawrence,2019,32
Alabama,Madison,2019,49
Alabama,Mobile,2019,52
Alabama,Montgomery,2019,57
Alabama,Morgan,2019,45
Alabama,Russell,2019,48
Alabama,Shelby,2019,42
Alabama,Sumter,2019,38
Alabama,Tuscaloosa,2019,39
Alaska,Aleutians East ,2019,14
Alaska,Anchorage ,2019,32
Alaska,Bethel ,2019,13
Alaska,Denali ,2019,36
Alaska,Fairbanks North Star ,2019,44
Alaska,Juneau ,2019,27
Alaska,Kenai Peninsula ,2019,11
Alaska,Matanuska-Susitna ,2019,25
Alaska,North Slope ,2019,6
Arizona,Apache,2019,11
Arizona,Cochise,2019,46
Arizona,Coconino,2019,45
Arizona,Gila,2019,48
Arizona,La Paz,2019,44
Arizona,Maricopa,2019,67
Arizona,Mohave,2019,14
Arizona,Navajo,2019,44
Arizona,Pima,2019,49
Arizona,Pinal,2019,63
Arizona,Santa Cruz,2019,39
Arizona,Yavapai,2019,43
Arizona,Yuma,2019,47
Arkansas,Arkansas,2019,41
Arkansas,Ashley,2019,43
Arkansas,Benton,2019,47
Arkansas,Clark,2019,32
Arkansas,Craighead,2019,41
Arkansas,Crittenden,2019,47
Arkansas,Garland,2019,50
Arkansas,Jackson,2019,45
Arkansas,Newton,2019,36
Arkansas,Polk,2019,40
Arkansas,Pulaski,2019,53
Arkansas,Union,2019,46
Arkansas,Washington,2019,48
California,Alameda,2019,50
California,Amador,2019,39
California,Butte,2019,51
California,Calaveras,2019,43
California,Colusa,2019,41
California,Contra Costa,2019,43
California,Del Norte,2019,26
California,El Dorado,2019,43
California,Fresno,2019,63
California,Glenn,2019,42
California,Humboldt,2019,28
California,Imperial,2019,61
California,Inyo,2019,47
California,Kern,2019,69
California,Kings,2019,58
California,Lake,2019,31
California,Los Angeles,2019,72
California,Madera,2019,52
California,Marin,2019,37
California,Mariposa,2019,50
California,Mendocino,2019,36
California,Merced,2019,51
California,Mono,2019,34
California,Monterey,2019,39
California,Napa,2019,37
California,Nevada,2019,45
California,Orange,2019,53
California,Placer,2019,49
California,Plumas,2019,34
California,Riverside,2019,77
California,Sacramento,2019,52
California,San Benito,2019,39
California,San Bernardino,2019,81
California,San Diego,2019,66
California,San Francisco,2019,39
California,San Joaquin,2019,47
California,San Luis Obispo,2019,49
California,San Mateo,2019,39
California,Santa Barbara,2019,45
California,Santa Clara,2019,48
California,Santa Cruz,2019,39
California,Shasta,2019,42
California,Siskiyou,2019,38
California,Solano,2019,45
California,Sonoma,2019,36
California,Stanislaus,2019,52
California,Sutter,2019,48
California,Tehama,2019,43
California,Trinity,2019,23
California,Tulare,2019,67
California,Tuolumne,2019,43
California,Ventura,2019,51
California,Yolo,2019,43
Colorado,Adams,2019,50
Colorado,Alamosa,2019,12
Colorado,Arapahoe,2019,47
Colorado,Archuleta,2019,31
