State,County,Year,Median_AQI
Alabama,Baldwin,2017,39
Alabama,Clay,2017,40
Alabama,Colbert,2017,39
Alabama,DeKalb,2017,40
Alabama,Elmore,2017,35
Alabama,Etowah,2017,53
Alabama,Houston,2017,37
Alabama,Jefferson,2017,56
Alabama,Lawrence,2017,31
Alabama,Madison,2017,40
Alabama,Mobile,2017,43
Alabama,Montgomery,2017,53
Alabama,Morgan,2017,43
Alabama,Russell,2017,46
Alabama,Shelby,2017,38
Alabama,Sumter,2017,38
Alabama,Talladega,2017,44
Alabama,Tuscaloosa,2017,57
Alaska,Aleutians East ,2017,12
Alaska,Anchorage ,2017,28
Alaska,Denali ,2017,34
Alaska,Fairbanks North Star ,2017,44
Alaska,Juneau ,2017,20
Alaska,Kenai Peninsula ,2017,8
Alaska,Matanuska-Susitna ,2017,32
Arizona,Apache,2017,14
Arizona,Cochise,2017,45
Arizona,Coconino,2017,46
Arizona,Gila,2017,44
Arizona,La Paz,2017,44
Arizona,Maricopa,2017,71
Arizona,Mohave,2017,17
Arizona,Navajo,2017,44
Arizona,Pima,2017,54
Arizona,Pinal,2017,75
Arizona,Santa Cruz,2017,40
Arizona,Yavapai,2017,46
Arizona,Yuma,2017,49
Arkansas,Arkansas,2017,39
Arkansas,Ashley,2017,44
Arkansas,Clark,2017,34
Arkansas,Crittenden,2017,48
Arkansas,Garland,2017,46
Arkansas,Jackson,2017,40
Arkansas,Newton,2017,38
Arkansas,Polk,2017,41
Arkansas,Pulaski,2017,52
Arkansas,Union,2017,52
Arkansas,Washington,2017,51
California,Alameda,2017,56
California,Amador,2017,38
California,Butte,2017,59
California,Calaveras,2017,57
California,Colusa,2017,43
California,Contra Costa,2017,54
California,Del Norte,2017,27
California,El Dorado,2017,45
California,Fresno,2017,75
California,Glenn,2017,46
California,Humboldt,2017,37
California,Imperial,2017,64
California,Inyo,2017,49
California,Kern,2017,85
California,Kings,2017,72
California,Lake,2017,35
California,Los Angeles,2017,79
California,Madera,2017,62
California,Marin,2017,44
California,Mariposa,2017,54
California,Mendocino,2017,45
California,Merced,2017,58
California,Mono,2017,18
California,Monterey,2017,41
California,Napa,2017,53
California,Nevada,2017,49
California,Orange,2017,59
California,Placer,2017,46
California,Plumas,2017,47
