State,County,Year,Median_AQI
Alabama,Baldwin,2025,42
Alabama,Clay,2025,30
Alabama,DeKalb,2025,41
Alabama,Elmore,2025,41
Alabama,Etowah,2025,43
Alabama,Jefferson,2025,56
Alabama,Madison,2025,42
Alabama,Mobile,2025,42
Alabama,Montgomery,2025,43
Alabama,Morgan,2025,39
Alabama,Russell,2025,44
Alabama,Shelby,2025,41
Alabama,Sumter,2025,38
Alabama,Tuscaloosa,2025,38
Alaska,Anchorage ,2025,34
Alaska,Denali ,2025,41
Alaska,Fairbanks North Star ,2025,54
Alaska,Juneau ,2025,30
Alaska,Matanuska-Susitna ,2025,7
Arizona,Apache,2025,17
Arizona,Cochise,2025,44
Arizona,Coconino,2025,49
Arizona,Gila,2025,51
Arizona,La Paz,2025,47
Arizona,Maricopa,2025,76
Arizona,Mohave,2025,17
Arizona,Navajo,2025,13
Arizona,Pima,2025,50
Arizona,Pinal,2025,66
Arizona,Santa Cruz,2025,48
Arizona,Yavapai,2025,49
Arizona,Yuma,2025,50
Arkansas,Arkansas,2025,43
Arkansas,Ashley,2025,39
Arkansas,Clark,2025,35
Arkansas,Crittenden,2025,39
Arkansas,Garland,2025,44
Arkansas,Jackson,2025,38
Arkansas,Newton,2025,38
Arkansas,Polk,2025,39
Arkansas,Pulaski,2025,53
Arkansas,Union,2025,50
Arkansas,Washington,2025,41
California,Amador,2025,32
California,Butte,2025,44
California,Calaveras,2025,38
California,Colusa,2025,31
California,Del Norte,2025,35
California,El Dorado,2025,32
California,Fresno,2025,52
California,Glenn,2025,37
California,Humboldt,2025,35
California,Imperial,2025,49
California,Inyo,2025,54
California,Kern,2025,55
California,Kings,2025,52
California,Lake,2025,14
California,Los Angeles,2025,64
California,Madera,2025,42
California,Mariposa,2025,44
California,Merced,2025,43
California,Mono,2025,24
California,Monterey,2025,40
California,Nevada,2025,41
California,Orange,2025,52
California,Placer,2025,46
California,Plumas,2025,66
California,Riverside,2025,67
California,Sacramento,2025,40
California,San Benito,2025,39
California,San Bernardino,2025,64
California,San Diego,2025,47
California,San Joaquin,2025,48
California,San Luis Obispo,2025,52
California,Santa Barbara,2025,52
California,Santa Cruz,2025,37
California,Shasta,2025,43
California,Solano,2025,34
California,Sonoma,2025,9
California,Stanislaus,2025,44
California,Sutter,2025,48
California,Tehama,2025,25
California,Trinity,2025,54
California,Tulare,2025,52
California,Tuolumne,2025,35
California,Ventura,2025,48
California,Yolo,2025,42
Colorado,Adams,2025,49
Colorado,Alamosa,2025,21
Colorado,Arapahoe,2025,49
Colorado,Archuleta,2025,25
Colorado,Boulder,2025,48
Colorado,Clear Creek,2025,48
Colorado,Denver,2025,50
Colorado,Douglas,2025,48
Colorado,El Paso,2025,47
Colorado,Fremont,2025,22
Colorado,Garfield,2025,42
Colorado,Gilpin,2025,48
Colorado,Gunnison,2025,49
Colorado,Jefferson,2025,49
Colorado,La Plata,2025,46
Colorado,Larimer,2025,51
Colorado,Mesa,2025,47
Colorado,Montezuma,2025,46
Colorado,Pitkin,2025,16
Colorado,Prowers,2025,23
Colorado,Pueblo,2025,46
Colorado,Routt,2025,22
Colorado,San Miguel,2025,17
Colorado,Weld,2025,48
Connecticut,Fairfield,2025,42
Connecticut,Hartford,2025,42
Connecticut,Litchfield,2025,39
Connecticut,Middlesex,2025,42
Connecticut,New Haven,2025,40
Connecticut,New London,2025,35
Connecticut,Tolland,2025,44
Connecticut,Windham,2025,37
Country Of Mexico,SONORA,2025,54
Delaware,Kent,2025,41
Delaware,New Castle,2025,46
Delaware,Sussex,2025,39
District Of Columbia,District of Columbia,2025,44
Florida,Alachua,2025,39
Florida,Baker,2025,44
Florida,Bay,2025,42
Florida,Brevard,2025,41
Florida,Broward,2025,45
Florida,Citrus,2025,44
Florida,Collier,2025,42
Florida,Columbia,2025,50
Florida,Duval,2025,52
Florida,Escambia,2025,44
Florida,Flagler,2025,38
Florida,Hamilton,2025,44
Florida,Highlands,2025,40
Florida,Hillsborough,2025,52
Florida,Holmes,2025,44
Florida,Indian River,2025,44
Florida,Lake,2025,38
Florida,Lee,2025,46
Florida,Leon,2025,51
Florida,Liberty,2025,38
Florida,Manatee,2025,40
Florida,Marion,2025,49
Florida,Martin,2025,43
Florida,Miami-Dade,2025,51
Florida,Okaloosa,2025,39
Florida,Orange,2025,46
Florida,Osceola,2025,42
Florida,Palm Beach,2025,44
Florida,Pasco,2025,40
Florida,Pinellas,2025,47
Florida,Polk,2025,36
Florida,Putnam,2025,22
Florida,Santa Rosa,2025,44
Florida,Sarasota,2025,48
Florida,Seminole,2025,42
Florida,St. Lucie,2025,39
Florida,Volusia,2025,44
Florida,Wakulla,2025,43
Georgia,Bibb,2025,53
Georgia,Chatham,2025,47
Georgia,Clarke,2025,48
Georgia,Clayton,2025,49
Georgia,Cobb,2025,35
Georgia,Coffee,2025,44
Georgia,Dawson,2025,41
Georgia,DeKalb,2025,47
Georgia,Dougherty,2025,52
Georgia,Floyd,2025,34
Georgia,Fulton,2025,49
Georgia,Glynn,2025,41
Georgia,Gwinnett,2025,45
Georgia,Hall,2025,46
Georgia,Henry,2025,41
Georgia,Houston,2025,46
Georgia,Lowndes,2025,52
Georgia,Murray,2025,43
Georgia,Muscogee,2025,51
Georgia,Pike,2025,40
Georgia,Richmond,2025,53
Georgia,Rockdale,2025,38
Georgia,Walker,2025,50
Georgia,Washington,2025,49
Hawaii,Hawaii,2025,33
Hawaii,Honolulu,2025,36
Hawaii,Maui,2025,23
Idaho,Ada,2025,37
Idaho,Bannock,2025,18
Idaho,Benewah,2025,45
Idaho,Blaine,2025,24
Idaho,Boise,2025,48
Idaho,Bonner,2025,47
Idaho,Bonneville,2025,17
Idaho,Butte,2025,42
Idaho,Canyon,2025,32
Idaho,Franklin,2025,14
Idaho,Idaho,2025,42
Idaho,Kootenai,2025,32
Idaho,Latah,2025,21
Idaho,Lemhi,2025,54
Idaho,Nez Perce,2025,27
Idaho,Shoshone,2025,58
Idaho,Twin Falls,2025,24
Idaho,Valley,2025,44
Illinois,Adams,2025,40
Illinois,Champaign,2025,42
Illinois,Clark,2025,34
Illinois,Cook,2025,51
Illinois,DuPage,2025,42
Illinois,Effingham,2025,35
Illinois,Hamilton,2025,41
Illinois,Jersey,2025,41
Illinois,Jo Daviess,2025,33
Illinois,Kane,2025,42
Illinois,Lake,2025,38
Illinois,Macon,2025,44
Illinois,Macoupin,2025,36
Illinois,Madison,2025,45
Illinois,McHenry,2025,41
Illinois,McLean,2025,44
Illinois,Peoria,2025,44
Illinois,Randolph,2025,41
Illinois,Rock Island,2025,39
Illinois,Saint Clair,2025,43
Illinois,Sangamon,2025,41
Illinois,Will,2025,44
Illinois,Winnebago,2025,39
Indiana,Allen,2025,41
Indiana,Bartholomew,2025,42
Indiana,Boone,2025,33
Indiana,Brown,2025,36
Indiana,Carroll,2025,34
Indiana,Clark,2025,42
Indiana,Delaware,2025,40
Indiana,Dubois,2025,33
Indiana,Elkhart,2025,40
Indiana,Floyd,2025,46
Indiana,Greene,2025,41
Indiana,Hamilton,2025,44
Indiana,Hendricks,2025,34
Indiana,Henry,2025,34
Indiana,Howard,2025,42
Indiana,Knox,2025,36
Indiana,LaPorte,2025,37
Indiana,Lake,2025,49
Indiana,Madison,2025,38
Indiana,Marion,2025,50
Indiana,Monroe,2025,32
Indiana,Perry,2025,38
Indiana,Porter,2025,38
Indiana,Posey,2025,38
Indiana,Shelby,2025,34
Indiana,Spencer,2025,35
Indiana,St. Joseph,2025,40
Indiana,Tippecanoe,2025,32
Indiana,Vanderburgh,2025,44
Indiana,Vigo,2025,44
Indiana,Wabash,2025,34
Indiana,Warrick,2025,38
Indiana,Whitley,2025,33
Iowa,Black Hawk,2025,49
Iowa,Bremer,2025,40
Iowa,Clinton,2025,44
Iowa,Harrison,2025,43
Iowa,Johnson,2025,33
Iowa,Linn,2025,42
Iowa,Montgomery,2025,44
Iowa,Muscatine,2025,42
Iowa,Palo Alto,2025,42
Iowa,Polk,2025,44
Iowa,Pottawattamie,2025,32
Iowa,Scott,2025,44
Iowa,Van Buren,2025,43
Iowa,Woodbury,2025,42
Kansas,Douglas,2025,41
Kansas,Ford,2025,23
Kansas,Johnson,2025,41
Kansas,Leavenworth,2025,34
Kansas,Neosho,2025,41
Kansas,Sedgwick,2025,48
Kansas,Shawnee,2025,43
Kansas,Sherman,2025,21
Kansas,Sumner,2025,37
Kansas,Trego,2025,35
Kansas,Wyandotte,2025,43
Kentucky,Bell,2025,44
Kentucky,Boone,2025,39
Kentucky,Boyd,2025,38
Kentucky,Bullitt,2025,42
Kentucky,Campbell,2025,36
Kentucky,Carter,2025,32
Kentucky,Christian,2025,39
Kentucky,Daviess,2025,37
Kentucky,Edmonson,2025,37
Kentucky,Fayette,2025,37
Kentucky,Greenup,2025,39
Kentucky,Hancock,2025,44
Kentucky,Hardin,2025,44
Kentucky,Jefferson,2025,46
Kentucky,Jessamine,2025,40
Kentucky,Livingston,2025,43
Kentucky,McCracken,2025,37
Kentucky,Morgan,2025,37
Kentucky,Oldham,2025,40
Kentucky,Perry,2025,37
Kentucky,Pike,2025,32
Kentucky,Pulaski,2025,40
Kentucky,Simpson,2025,44
Kentucky,Warren,2025,37
Kentucky,Washington,2025,37
Louisiana,Ascension,2025,33
Louisiana,Bossier,2025,37
Louisiana,Caddo,2025,36
Louisiana,Calcasieu,2025,46
Louisiana,East Baton Rouge,2025,49
Louisiana,Iberville,2025,38
Louisiana,Jefferson,2025,48
Louisiana,Lafayette,2025,46
Louisiana,Lafourche,2025,46
Louisiana,Livingston,2025,48
Louisiana,Orleans,2025,43
Louisiana,Ouachita,2025,43
Louisiana,Pointe Coupee,2025,36
Louisiana,Rapides,2025,27
Louisiana,St. Bernard,2025,46
Louisiana,St. James,2025,33
Louisiana,St. John the Baptist,2025,34
Louisiana,St. Martin,2025,36
Louisiana,St. Tammany,2025,38
Louisiana,Tangipahoa,2025,33
Louisiana,Terrebonne,2025,34
Louisiana,West Baton Rouge,2025,49
Maine,Androscoggin,2025,38
Maine,Aroostook,2025,37
Maine,Cumberland,2025,41
Maine,Hancock,2025,39
Maine,Kennebec,2025,38
Maine,Knox,2025,37
Maine,Oxford,2025,41
Maine,Penobscot,2025,39
Maine,Sagadahoc,2025,39
Maine,Washington,2025,37
Maine,York,2025,38
Maryland,Anne Arundel,2025,42
Maryland,Baltimore,2025,44
Maryland,Baltimore (City),2025,44
Maryland,Calvert,2025,42
Maryland,Carroll,2025,40
Maryland,Cecil,2025,41
Maryland,Charles,2025,41
Maryland,Dorchester,2025,41
Maryland,Frederick,2025,42
Maryland,Garrett,2025,41
Maryland,Harford,2025,44
Maryland,Howard,2025,36
Maryland,Kent,2025,42
Maryland,Montgomery,2025,42
Maryland,Prince George's,2025,42
Maryland,Washington,2025,43
Massachusetts,Barnstable,2025,40
Massachusetts,Berkshire,2025,39
Massachusetts,Bristol,2025,40
Massachusetts,Dukes,2025,39
Massachusetts,Essex,2025,41
Massachusetts,Franklin,2025,40
Massachusetts,Hampden,2025,40
Massachusetts,Hampshire,2025,39
Massachusetts,Middlesex,2025,40
Massachusetts,Norfolk,2025,42
Massachusetts,Plymouth,2025,39
Massachusetts,Suffolk,2025,38
Massachusetts,Worcester,2025,41
Michigan,Allegan,2025,41
Michigan,Bay,2025,39
Michigan,Berrien,2025,39
Michigan,Cass,2025,39
Michigan,Genesee,2025,35
Michigan,Ingham,2025,35
Michigan,Kalamazoo,2025,31
Michigan,Kent,2025,48
Michigan,Lenawee,2025,31
Michigan,Macomb,2025,38
Michigan,Manistee,2025,17
Michigan,Marquette,2025,12
Michigan,Missaukee,2025,30
Michigan,Muskegon,2025,39
Michigan,Oakland,2025,38
Michigan,Ottawa,2025,26
Michigan,Schoolcraft,2025,19
Michigan,St. Clair,2025,37
Michigan,Tuscola,2025,36
Michigan,Washtenaw,2025,39
Michigan,Wayne,2025,54
Michigan,Wexford,2025,37
Minnesota,Anoka,2025,36
Minnesota,Becker,2025,34
Minnesota,Beltrami,2025,31
Minnesota,Blue Earth,2025,34
Minnesota,Carlton,2025,30
Minnesota,Cass,2025,22
Minnesota,Cook,2025,12
Minnesota,Crow Wing,2025,32
Minnesota,Dakota,2025,31
Minnesota,Goodhue,2025,39
Minnesota,Hennepin,2025,38
Minnesota,Lake,2025,16
Minnesota,Lyon,2025,29
Minnesota,Mille Lacs,2025,34
Minnesota,Olmsted,2025,38
Minnesota,Ramsey,2025,31
Minnesota,Saint Louis,2025,39
Minnesota,Scott,2025,33
Minnesota,Stearns,2025,32
Minnesota,Washington,2025,36
Minnesota,Wright,2025,35
Mississippi,Bolivar,2025,42
Mississippi,DeSoto,2025,42
Mississippi,Forrest,2025,46
Mississippi,Hancock,2025,45
Mississippi,Harrison,2025,44
Mississippi,Hinds,2025,50
Mississippi,Jackson,2025,46
Mississippi,Lauderdale,2025,36
Mississippi,Lee,2025,40
Mississippi,Yalobusha,2025,35
Missouri,Andrew,2025,40
Missouri,Boone,2025,42
Missouri,Buchanan,2025,39
Missouri,Callaway,2025,43
Missouri,Cass,2025,38
Missouri,Cedar,2025,40
Missouri,Clay,2025,39
Missouri,Clinton,2025,41
Missouri,Greene,2025,43
Missouri,Jackson,2025,47
Missouri,Jasper,2025,33
Missouri,Jefferson,2025,38
Missouri,Lincoln,2025,42
Missouri,Monroe,2025,32
Missouri,Perry,2025,40
Missouri,Saint Charles,2025,42
Missouri,Saint Louis,2025,36
Missouri,Sainte Genevieve,2025,42
Missouri,St. Louis City,2025,51
Montana,Beaverhead,2025,6
Montana,Custer,2025,36
Montana,Dawson,2025,6
Montana,Fergus,2025,42
Montana,Flathead,2025,42
Montana,Gallatin,2025,12
Montana,Glacier,2025,20
Montana,Hill,2025,11
Montana,Lewis and Clark,2025,44
Montana,Lincoln,2025,60
Montana,Missoula,2025,39
Montana,Phillips,2025,16
Montana,Ravalli,2025,31
Montana,Richland,2025,36
Montana,Sanders,2025,14
Montana,Silver Bow,2025,34
Montana,Teton,2025,9
Montana,Yellowstone,2025,37
Nebraska,Cass,2025,19
Nebraska,Douglas,2025,44
Nebraska,Gage,2025,28
Nebraska,Hall,2025,34
Nebraska,Knox,2025,36
Nebraska,Lancaster,2025,34
Nebraska,Sarpy,2025,36
Nebraska,Scotts Bluff,2025,26
Nebraska,Washington,2025,28
Nevada,Carson City,2025,43
Nevada,Churchill,2025,35
Nevada,Clark,2025,55
Nevada,Douglas,2025,26
Nevada,Elko,2025,12
Nevada,Lyon,2025,40
Nevada,Nye,2025,21
Nevada,Washoe,2025,48
Nevada,White Pine,2025,44
New Hampshire,Belknap,2025,38
New Hampshire,Cheshire,2025,39
New Hampshire,Coos,2025,44
New Hampshire,Grafton,2025,39
New Hampshire,Hillsborough,2025,39
