State,County,Year,Median_AQI
Alabama,Baldwin,2016,40
Alabama,Clay,2016,41
Alabama,Colbert,2016,41
Alabama,DeKalb,2016,41
Alabama,Elmore,2016,40
Alabama,Etowah,2016,58
Alabama,Houston,2016,37
Alabama,Jefferson,2016,56
Alabama,Lawrence,2016,33
Alabama,Madison,2016,42
Alabama,Mobile,2016,51
Alabama,Montgomery,2016,48
Alabama,Morgan,2016,46
Alabama,Russell,2016,45
Alabama,Shelby,2016,41
Alabama,Sumter,2016,37
Alabama,Talladega,2016,46
Alabama,Tuscaloosa,2016,54
Alaska,Aleutians East ,2016,11
Alaska,Anchorage ,2016,40
Alaska,Denali ,2016,33
Alaska,Fairbanks North Star ,2016,46
Alaska,Juneau ,2016,27
Alaska,Kenai Peninsula ,2016,9
Alaska,Matanuska-Susitna ,2016,34
Arizona,Apache,2016,14
Arizona,Cochise,2016,44
Arizona,Coconino,2016,44
Arizona,Gila,2016,44
Arizona,La Paz,2016,42
Arizona,Maricopa,2016,67
Arizona,Mohave,2016,19
Arizona,Navajo,2016,43
Arizona,Pima,2016,50
Arizona,Pinal,2016,69
Arizona,Santa Cruz,2016,48
Arizona,Yavapai,2016,40
Arizona,Yuma,2016,49
Arkansas,Arkansas,2016,44
Arkansas,Ashley,2016,45
Arkansas,Clark,2016,34
Arkansas,Crittenden,2016,40
Arkansas,Garland,2016,48
Arkansas,Jackson,2016,39
Arkansas,Newton,2016,37
Arkansas,Polk,2016,41
Arkansas,Pulaski,2016,52
Arkansas,Union,2016,47
Arkansas,Washington,2016,40
California,Alameda,2016,52
California,Alpine,2016,29
California,Amador,2016,37
California,Butte,2016,57
California,Calaveras,2016,49
California,Colusa,2016,45
California,Contra Costa,2016,46
California,Del Norte,2016,26
California,El Dorado,2016,45
California,Fresno,2016,76
California,Glenn,2016,48
California,Humboldt,2016,38
California,Imperial,2016,61
California,Inyo,2016,45
California,Kern,2016,80
California,Kings,2016,72
California,Lake,2016,33
California,Los Angeles,2016,77
California,Madera,2016,63
California,Marin,2016,36
California,Mariposa,2016,48
California,Mendocino,2016,39
California,Merced,2016,58
California,Mono,2016,18
California,Monterey,2016,37
California,Napa,2016,44
California,Nevada,2016,45
California,Orange,2016,58
California,Placer,2016,50
California,Plumas,2016,43
