State,County,Year,Median_AQI
Alabama,Baldwin,2022,39
Alabama,Clay,2022,34
Alabama,DeKalb,2022,38
Alabama,Elmore,2022,33
Alabama,Etowah,2022,46
Alabama,Jefferson,2022,54
Alabama,Lawrence,2022,29
Alabama,Madison,2022,48
Alabama,Mobile,2022,44
Alabama,Montgomery,2022,41
Alabama,Morgan,2022,47
Alabama,Russell,2022,46
Alabama,Shelby,2022,37
Alabama,Sumter,2022,38
Alabama,Tuscaloosa,2022,37
Alaska,Aleutians East ,2022,12
Alaska,Anchorage ,2022,24
Alaska,Denali ,2022,34
Alaska,Fairbanks North Star ,2022,43
Alaska,Juneau ,2022,21
Alaska,Kenai Peninsula ,2022,9
Alaska,Matanuska-Susitna ,2022,12
Alaska,North Slope ,2022,7
Arizona,Apache,2022,11
Arizona,Cochise,2022,44
Arizona,Coconino,2022,44
Arizona,Gila,2022,45
Arizona,La Paz,2022,44
Arizona,Maricopa,2022,75
Arizona,Mohave,2022,17
Arizona,Navajo,2022,44
Arizona,Pima,2022,53
Arizona,Pinal,2022,61
Arizona,Santa Cruz,2022,43
Arizona,Yavapai,2022,40
Arizona,Yuma,2022,46
Arkansas,Arkansas,2022,41
Arkansas,Ashley,2022,39
Arkansas,Clark,2022,35
Arkansas,Crittenden,2022,46
Arkansas,Garland,2022,44
Arkansas,Jackson,2022,41
Arkansas,Newton,2022,37
Arkansas,Polk,2022,34
Arkansas,Pulaski,2022,52
Arkansas,Union,2022,47
Arkansas,Washington,2022,47
California,Alameda,2022,49
California,Amador,2022,36
California,Butte,2022,50
California,Calaveras,2022,41
California,Colusa,2022,44
California,Contra Costa,2022,51
California,Del Norte,2022,29
California,El Dorado,2022,43
California,Fresno,2022,71
California,Glenn,2022,42
California,Humboldt,2022,24
California,Imperial,2022,61
California,Inyo,2022,58
California,Kern,2022,80
California,Kings,2022,69
California,Lake,2022,32
California,Los Angeles,2022,74
California,Madera,2022,54
California,Marin,2022,37
California,Mariposa,2022,48
California,Mendocino,2022,54
California,Merced,2022,56
California,Mono,2022,27
California,Monterey,2022,39
California,Nevada,2022,50
California,Orange,2022,53
California,Placer,2022,54
California,Plumas,2022,55
California,Riverside,2022,77
California,Sacramento,2022,53
California,San Benito,2022,42
California,San Bernardino,2022,77
California,San Diego,2022,63
California,San Francisco,2022,36
California,San Joaquin,2022,48
California,San Luis Obispo,2022,55
California,San Mateo,2022,36
California,Santa Barbara,2022,48
California,Santa Clara,2022,49
California,Santa Cruz,2022,35
California,Shasta,2022,45
California,Siskiyou,2022,41
California,Solano,2022,43
California,Sonoma,2022,36
California,Stanislaus,2022,57
California,Sutter,2022,52
California,Tehama,2022,44
California,Trinity,2022,34
California,Tulare,2022,77
California,Tuolumne,2022,39
California,Ventura,2022,52
California,Yolo,2022,42
Colorado,Adams,2022,51
Colorado,Alamosa,2022,11
Colorado,Arapahoe,2022,46
Colorado,Archuleta,2022,42
Colorado,Boulder,2022,47
Colorado,Chaffee,2022,49
Colorado,Clear Creek,2022,47
Colorado,Delta,2022,44
Colorado,Denver,2022,52
Colorado,Douglas,2022,46
Colorado,El Paso,2022,46
Colorado,Fremont,2022,12
Colorado,Garfield,2022,49
Colorado,Gilpin,2022,45
Colorado,Grand,2022,44
Colorado,Gunnison,2022,46
Colorado,Jackson,2022,40
Colorado,Jefferson,2022,47
Colorado,La Plata,2022,46
Colorado,Larimer,2022,51
Colorado,Mesa,2022,44
Colorado,Montezuma,2022,44
Colorado,Park,2022,48
Colorado,Pitkin,2022,14
Colorado,Prowers,2022,18
Colorado,Pueblo,2022,21
Colorado,Rio Blanco,2022,47
Colorado,Routt,2022,13
Colorado,San Juan,2022,10
Colorado,San Miguel,2022,45
Colorado,Weld,2022,51
Connecticut,Fairfield,2022,45
Connecticut,Hartford,2022,42
Connecticut,Litchfield,2022,40
Connecticut,Middlesex,2022,40
Connecticut,New Haven,2022,44
Connecticut,New London,2022,39
Connecticut,Tolland,2022,39
Connecticut,Windham,2022,35
Country Of Mexico,BAJA CALIFORNIA NORTE,2022,66
Country Of Mexico,SONORA,2022,51
Delaware,Kent,2022,42
Delaware,New Castle,2022,48
Delaware,Sussex,2022,43
District Of Columbia,District of Columbia,2022,49
Florida,Alachua,2022,41
Florida,Baker,2022,43
Florida,Bay,2022,46
Florida,Brevard,2022,43
Florida,Broward,2022,49
Florida,Citrus,2022,45
Florida,Collier,2022,40
Florida,Columbia,2022,45
Florida,Duval,2022,53
Florida,Escambia,2022,49
Florida,Flagler,2022,34
Florida,Hamilton,2022,47
Florida,Highlands,2022,33
Florida,Hillsborough,2022,51
Florida,Holmes,2022,47
Florida,Indian River,2022,33
Florida,Lake,2022,35
Florida,Lee,2022,42
Florida,Leon,2022,47
Florida,Liberty,2022,32
Florida,Manatee,2022,33
Florida,Marion,2022,44
Florida,Martin,2022,42
Florida,Miami-Dade,2022,44
Florida,Okaloosa,2022,39
Florida,Orange,2022,39
Florida,Osceola,2022,34
Florida,Palm Beach,2022,41
Florida,Pasco,2022,37
Florida,Pinellas,2022,46
Florida,Polk,2022,44
Florida,Putnam,2022,16
Florida,Santa Rosa,2022,44
