State,County,Year,Median_AQI
Alabama,Baldwin,2021,37
Alabama,Clay,2021,36
Alabama,DeKalb,2021,37
Alabama,Elmore,2021,32
Alabama,Etowah,2021,38
Alabama,Jefferson,2021,56
Alabama,Lawrence,2021,28
Alabama,Madison,2021,49
Alabama,Mobile,2021,53
Alabama,Montgomery,2021,44
Alabama,Morgan,2021,47
Alabama,Russell,2021,47
Alabama,Shelby,2021,35
Alabama,Sumter,2021,35
Alabama,Tuscaloosa,2021,34
Alaska,Aleutians East ,2021,13
Alaska,Anchorage ,2021,28
Alaska,Denali ,2021,33
Alaska,Fairbanks North Star ,2021,42
Alaska,Juneau ,2021,20
Alaska,Kenai Peninsula ,2021,9
Alaska,Matanuska-Susitna ,2021,15
Alaska,North Slope ,2021,5
Arizona,Apache,2021,15
Arizona,Cochise,2021,45
Arizona,Coconino,2021,46
Arizona,Gila,2021,46
Arizona,La Paz,2021,46
Arizona,Maricopa,2021,122
Arizona,Mohave,2021,19
Arizona,Navajo,2021,44
Arizona,Pima,2021,56
Arizona,Pinal,2021,70
Arizona,Santa Cruz,2021,52
Arizona,Yavapai,2021,44
Arizona,Yuma,2021,50
Arkansas,Arkansas,2021,39
Arkansas,Ashley,2021,42
Arkansas,Clark,2021,32
Arkansas,Crittenden,2021,45
Arkansas,Garland,2021,45
Arkansas,Jackson,2021,39
Arkansas,Newton,2021,37
Arkansas,Polk,2021,40
Arkansas,Pulaski,2021,54
Arkansas,Union,2021,48
Arkansas,Washington,2021,48
California,Alameda,2021,53
California,Amador,2021,37
California,Butte,2021,53
California,Calaveras,2021,46
California,Colusa,2021,55
California,Contra Costa,2021,47
California,Del Norte,2021,31
California,El Dorado,2021,43
California,Fresno,2021,68
California,Glenn,2021,42
California,Humboldt,2021,29
California,Imperial,2021,60
California,Inyo,2021,61
California,Kern,2021,84
California,Kings,2021,64
California,Lake,2021,33
California,Los Angeles,2021,79
California,Madera,2021,58
California,Marin,2021,38
California,Mariposa,2021,49
California,Mendocino,2021,46
California,Merced,2021,54
California,Mono,2021,27
California,Monterey,2021,41
California,Napa,2021,41
California,Nevada,2021,50
California,Orange,2021,55
California,Placer,2021,58
California,Plumas,2021,67
California,Riverside,2021,89
California,Sacramento,2021,55
California,San Benito,2021,41
California,San Bernardino,2021,87
California,San Diego,2021,67
California,San Francisco,2021,39
California,San Joaquin,2021,55
California,San Luis Obispo,2021,53
California,San Mateo,2021,36
California,Santa Barbara,2021,44
California,Santa Clara,2021,53
California,Santa Cruz,2021,37
California,Shasta,2021,46
California,Siskiyou,2021,43
California,Solano,2021,44
California,Sonoma,2021,37
California,Stanislaus,2021,61
California,Sutter,2021,59
California,Tehama,2021,47
California,Trinity,2021,38
California,Tulare,2021,81
California,Tuolumne,2021,41
California,Ventura,2021,53
California,Yolo,2021,42
Colorado,Adams,2021,49
Colorado,Alamosa,2021,12
Colorado,Arapahoe,2021,46
Colorado,Archuleta,2021,45
Colorado,Boulder,2021,52
Colorado,Chaffee,2021,58
Colorado,Clear Creek,2021,49
Colorado,Delta,2021,43
Colorado,Denver,2021,55
Colorado,Douglas,2021,48
Colorado,El Paso,2021,47
Colorado,Fremont,2021,15
Colorado,Garfield,2021,49
Colorado,Gilpin,2021,46
Colorado,Grand,2021,48
Colorado,Gunnison,2021,46
Colorado,Jackson,2021,7
Colorado,Jefferson,2021,47
Colorado,La Plata,2021,47
Colorado,Larimer,2021,54
Colorado,Mesa,2021,46
Colorado,Montezuma,2021,44
Colorado,Park,2021,48
Colorado,Pitkin,2021,14
Colorado,Prowers,2021,19
Colorado,Pueblo,2021,23
Colorado,Rio Blanco,2021,48
Colorado,Routt,2021,15
Colorado,San Juan,2021,9
Colorado,San Miguel,2021,48
Colorado,Weld,2021,54
Connecticut,Fairfield,2021,46
Connecticut,Hartford,2021,42
Connecticut,Litchfield,2021,38
Connecticut,Middlesex,2021,39
Connecticut,New Haven,2021,46
Connecticut,New London,2021,39
Connecticut,Tolland,2021,39
Connecticut,Windham,2021,34
Country Of Mexico,BAJA CALIFORNIA NORTE,2021,69
Country Of Mexico,SONORA,2021,34
Delaware,Kent,2021,42
Delaware,New Castle,2021,48
Delaware,Sussex,2021,40
District Of Columbia,District of Columbia,2021,51
Florida,Alachua,2021,39
Florida,Baker,2021,42
Florida,Bay,2021,46
Florida,Brevard,2021,45
Florida,Broward,2021,49
Florida,Citrus,2021,44
Florida,Collier,2021,42
Florida,Columbia,2021,44
Florida,Duval,2021,52
Florida,Escambia,2021,49
Florida,Flagler,2021,33
Florida,Hamilton,2021,46
Florida,Highlands,2021,33
Florida,Hillsborough,2021,51
Florida,Holmes,2021,48
Florida,Indian River,2021,36
Florida,Lake,2021,34
Florida,Lee,2021,41
Florida,Leon,2021,48
Florida,Liberty,2021,32
Florida,Manatee,2021,32
Florida,Marion,2021,42
Florida,Martin,2021,44
Florida,Miami-Dade,2021,46
Florida,Okaloosa,2021,33
Florida,Orange,2021,33
Florida,Osceola,2021,33
Florida,Palm Beach,2021,43
Florida,Pasco,2021,35
Florida,Pinellas,2021,47
Florida,Polk,2021,45
Florida,Putnam,2021,16
Florida,Santa Rosa,2021,44
Florida,Sarasota,2021,45
Florida,Seminole,2021,42
Florida,St. Lucie,2021,33
Florida,Volusia,2021,47
Florida,Wakulla,2021,41
Georgia,Bibb,2021,48
Georgia,Charlton,2021,25
Georgia,Chatham,2021,51
Georgia,Chattooga,2021,33
Georgia,Clarke,2021,49
Georgia,Clayton,2021,44
Georgia,Cobb,2021,41
Georgia,Coffee,2021,35
Georgia,Columbia,2021,33
Georgia,Dawson,2021,36
Georgia,DeKalb,2021,49
Georgia,Dougherty,2021,51
Georgia,Douglas,2021,38
Georgia,Floyd,2021,38
Georgia,Fulton,2021,53
Georgia,Glynn,2021,38
Georgia,Gwinnett,2021,49
Georgia,Hall,2021,46
Georgia,Henry,2021,39
Georgia,Houston,2021,49
Georgia,Lowndes,2021,46
Georgia,Murray,2021,38
Georgia,Muscogee,2021,43
Georgia,Pike,2021,36
Georgia,Richmond,2021,51
Georgia,Rockdale,2021,39
Georgia,Sumter,2021,35
Georgia,Walker,2021,53
Georgia,Washington,2021,51
Hawaii,Hawaii,2021,27
Hawaii,Honolulu,2021,28
Hawaii,Kauai,2021,17
Hawaii,Maui,2021,21
Idaho,Ada,2021,46
Idaho,Bannock,2021,44
Idaho,Benewah,2021,51
Idaho,Blaine,2021,23
Idaho,Boise,2021,49
Idaho,Bonner,2021,37
Idaho,Bonneville,2021,31
Idaho,Butte,2021,42
Idaho,Canyon,2021,46
Idaho,Custer,2021,8
Idaho,Franklin,2021,28
Idaho,Idaho,2021,42
Idaho,Kootenai,2021,31
Idaho,Latah,2021,20
Idaho,Lemhi,2021,47
Idaho,Nez Perce,2021,34
Idaho,Shoshone,2021,49
Idaho,Twin Falls,2021,28
Idaho,Valley,2021,41
Illinois,Adams,2021,40
Illinois,Champaign,2021,44
Illinois,Clark,2021,34
Illinois,Cook,2021,59
Illinois,DuPage,2021,51
Illinois,Effingham,2021,37
Illinois,Hamilton,2021,48
Illinois,Jersey,2021,45
Illinois,Jo Daviess,2021,36
Illinois,Kane,2021,44
Illinois,Lake,2021,42
Illinois,Macon,2021,51
Illinois,Macoupin,2021,31
Illinois,Madison,2021,57
Illinois,McHenry,2021,49
Illinois,McLean,2021,48
Illinois,Peoria,2021,50
Illinois,Randolph,2021,45
Illinois,Rock Island,2021,49
Illinois,Saint Clair,2021,53
Illinois,Sangamon,2021,43
Illinois,Will,2021,52
Illinois,Winnebago,2021,49
Indiana,Allen,2021,40
Indiana,Bartholomew,2021,43
Indiana,Boone,2021,33
Indiana,Brown,2021,33
Indiana,Carroll,2021,34
Indiana,Clark,2021,52
Indiana,Delaware,2021,37
Indiana,Dubois,2021,43
Indiana,Elkhart,2021,45
Indiana,Floyd,2021,34
Indiana,Greene,2021,38
Indiana,Hamilton,2021,44
Indiana,Hendricks,2021,33
Indiana,Henry,2021,38
Indiana,Howard,2021,44
Indiana,Knox,2021,36
Indiana,LaPorte,2021,37
Indiana,Lake,2021,54
Indiana,Madison,2021,48
Indiana,Marion,2021,58
Indiana,Monroe,2021,43
Indiana,Perry,2021,36
Indiana,Porter,2021,47
Indiana,Posey,2021,32
Indiana,Shelby,2021,33
Indiana,Spencer,2021,42
Indiana,St. Joseph,2021,52
Indiana,Tippecanoe,2021,44
Indiana,Vanderburgh,2021,51
Indiana,Vigo,2021,51
Indiana,Wabash,2021,35
Indiana,Warrick,2021,35
Indiana,Whitley,2021,47
Iowa,Black Hawk,2021,47
Iowa,Bremer,2021,40
Iowa,Cerro Gordo,2021,19
Iowa,Clinton,2021,55
Iowa,Harrison,2021,39
Iowa,Johnson,2021,52
Iowa,Lee,2021,42
Iowa,Linn,2021,52
Iowa,Montgomery,2021,42
Iowa,Muscatine,2021,45
Iowa,Palo Alto,2021,43
Iowa,Polk,2021,45
Iowa,Pottawattamie,2021,44
Iowa,Scott,2021,53
Iowa,Van Buren,2021,44
Iowa,Woodbury,2021,42
Kansas,Chase,2021,27
Kansas,Ford,2021,17
Kansas,Johnson,2021,46
Kansas,Leavenworth,2021,34
Kansas,Neosho,2021,51
Kansas,Sedgwick,2021,46
Kansas,Shawnee,2021,49
Kansas,Sherman,2021,17
Kansas,Sumner,2021,52
Kansas,Trego,2021,43
Kansas,Wyandotte,2021,53
Kentucky,Bell,2021,52
Kentucky,Boone,2021,39
Kentucky,Boyd,2021,44
Kentucky,Bullitt,2021,37
Kentucky,Campbell,2021,44
Kentucky,Carter,2021,35
Kentucky,Christian,2021,49
Kentucky,Daviess,2021,48
Kentucky,Edmonson,2021,36
Kentucky,Fayette,2021,47
Kentucky,Greenup,2021,34
Kentucky,Hancock,2021,38
Kentucky,Hardin,2021,43
Kentucky,Jefferson,2021,54
Kentucky,Jessamine,2021,38
Kentucky,Livingston,2021,39
Kentucky,McCracken,2021,44
Kentucky,Morgan,2021,35
Kentucky,Oldham,2021,39
Kentucky,Perry,2021,44
Kentucky,Pike,2021,41
Kentucky,Pulaski,2021,45
Kentucky,Simpson,2021,37
Kentucky,Trigg,2021,35
Kentucky,Warren,2021,45
Kentucky,Washington,2021,36
Louisiana,Ascension,2021,31
Louisiana,Bossier,2021,51
Louisiana,Caddo,2021,37
Louisiana,Calcasieu,2021,51
Louisiana,East Baton Rouge,2021,47
Louisiana,Iberville,2021,39
Louisiana,Jefferson,2021,40
Louisiana,Lafayette,2021,42
Louisiana,Lafourche,2021,45
Louisiana,Livingston,2021,48
Louisiana,Orleans,2021,33
Louisiana,Ouachita,2021,35
Louisiana,Pointe Coupee,2021,32
Louisiana,Rapides,2021,38
Louisiana,St. Bernard,2021,47
Louisiana,St. James,2021,28
Louisiana,St. John the Baptist,2021,31
Louisiana,St. Martin,2021,34
Louisiana,St. Tammany,2021,37
Louisiana,Tangipahoa,2021,39
Louisiana,Terrebonne,2021,34
Louisiana,West Baton Rouge,2021,46
Maine,Androscoggin,2021,36
Maine,Aroostook,2021,35
Maine,Cumberland,2021,36
Maine,Hancock,2021,36
Maine,Kennebec,2021,33
Maine,Knox,2021,35
Maine,Oxford,2021,35
Maine,Penobscot,2021,33
Maine,Washington,2021,33
Maine,York,2021,37
Maryland,Anne Arundel,2021,38
Maryland,Baltimore,2021,47
Maryland,Baltimore (City),2021,43
Maryland,Calvert,2021,39
Maryland,Carroll,2021,41
Maryland,Cecil,2021,44
Maryland,Charles,2021,38
Maryland,Dorchester,2021,41
Maryland,Frederick,2021,41
Maryland,Garrett,2021,39
Maryland,Harford,2021,46
Maryland,Howard,2021,36
Maryland,Kent,2021,40
Maryland,Montgomery,2021,42
Maryland,Prince George's,2021,41
Maryland,Washington,2021,44
Massachusetts,Barnstable,2021,36
Massachusetts,Berkshire,2021,44
Massachusetts,Bristol,2021,39
Massachusetts,Dukes,2021,36
Massachusetts,Essex,2021,38
Massachusetts,Franklin,2021,44
Massachusetts,Hampden,2021,46
Massachusetts,Hampshire,2021,35
Massachusetts,Middlesex,2021,37
Massachusetts,Norfolk,2021,37
Massachusetts,Plymouth,2021,39
Massachusetts,Suffolk,2021,44
Massachusetts,Worcester,2021,45
Michigan,Allegan,2021,42
Michigan,Bay,2021,28
Michigan,Benzie,2021,36
Michigan,Berrien,2021,40
Michigan,Cass,2021,40
Michigan,Clinton,2021,37
Michigan,Genesee,2021,41
Michigan,Huron,2021,37
Michigan,Ingham,2021,46
Michigan,Kalamazoo,2021,50
Michigan,Kent,2021,49
Michigan,Keweenaw,2021,14
Michigan,Lenawee,2021,46
Michigan,Macomb,2021,51
