State,County,Year,Median_AQI
Alabama,Baldwin,2015,39
Alabama,Clay,2015,43
Alabama,Colbert,2015,39
Alabama,DeKalb,2015,38
Alabama,Elmore,2015,35
Alabama,Etowah,2015,54
Alabama,Houston,2015,36
Alabama,Jefferson,2015,55
Alabama,Lawrence,2015,36
Alabama,Madison,2015,39
Alabama,Mobile,2015,48
Alabama,Montgomery,2015,53
Alabama,Morgan,2015,44
Alabama,Russell,2015,54
Alabama,Shelby,2015,40
Alabama,Sumter,2015,48
Alabama,Talladega,2015,52
Alabama,Tuscaloosa,2015,56
Alaska,Aleutians East ,2015,13
Alaska,Anchorage ,2015,34
Alaska,Denali ,2015,35
Alaska,Fairbanks North Star ,2015,59
Alaska,Juneau ,2015,28
Alaska,Kenai Peninsula ,2015,7
Alaska,Matanuska-Susitna ,2015,31
Alaska,Yukon-Koyukuk ,2015,6
Arizona,Apache,2015,11
Arizona,Cochise,2015,44
Arizona,Coconino,2015,44
Arizona,Gila,2015,43
Arizona,La Paz,2015,42
Arizona,Maricopa,2015,66
Arizona,Mohave,2015,17
Arizona,Navajo,2015,39
Arizona,Pima,2015,46
Arizona,Pinal,2015,63
Arizona,Santa Cruz,2015,38
Arizona,Yavapai,2015,41
Arizona,Yuma,2015,44
Arkansas,Arkansas,2015,46
Arkansas,Ashley,2015,42
Arkansas,Clark,2015,33
Arkansas,Crittenden,2015,37
Arkansas,Garland,2015,46
Arkansas,Jackson,2015,42
Arkansas,Newton,2015,35
Arkansas,Polk,2015,39
Arkansas,Pulaski,2015,53
Arkansas,Union,2015,43
Arkansas,Washington,2015,38
California,Alameda,2015,54
California,Alpine,2015,102
California,Amador,2015,41
California,Butte,2015,55
California,Calaveras,2015,47
California,Colusa,2015,53
California,Contra Costa,2015,48
California,Del Norte,2015,20
California,El Dorado,2015,44
California,Fresno,2015,80
California,Glenn,2015,46
California,Humboldt,2015,40
California,Imperial,2015,66
California,Inyo,2015,49
California,Kern,2015,84
California,Kings,2015,74
California,Lake,2015,36
California,Los Angeles,2015,80
California,Madera,2015,64
California,Marin,2015,43
California,Mariposa,2015,47
California,Mendocino,2015,46
California,Merced,2015,61
California,Mono,2015,15
California,Monterey,2015,41
California,Napa,2015,53
California,Nevada,2015,48
California,Orange,2015,61
California,Placer,2015,51
California,Plumas,2015,56
California,Riverside,2015,88
California,Sacramento,2015,58
California,San Benito,2015,40
California,San Bernardino,2015,84
California,San Diego,2015,65
California,San Francisco,2015,39
California,San Joaquin,2015,60
California,San Luis Obispo,2015,58
California,San Mateo,2015,35
California,Santa Barbara,2015,51
California,Santa Clara,2015,51
California,Santa Cruz,2015,38
California,Shasta,2015,44
California,Siskiyou,2015,36
California,Solano,2015,50
California,Sonoma,2015,37
California,Stanislaus,2015,62
California,Sutter,2015,54
California,Tehama,2015,47
California,Trinity,2015,12
California,Tulare,2015,80
California,Tuolumne,2015,43
California,Ventura,2015,56
California,Yolo,2015,50
Colorado,Adams,2015,45
Colorado,Alamosa,2015,18
Colorado,Arapahoe,2015,45
Colorado,Archuleta,2015,17
Colorado,Boulder,2015,44
Colorado,Chaffee,2015,47
Colorado,Clear Creek,2015,48
Colorado,Delta,2015,16
Colorado,Denver,2015,54
Colorado,Douglas,2015,44
Colorado,El Paso,2015,44
Colorado,Fremont,2015,11
Colorado,Garfield,2015,45
Colorado,Grand,2015,38
Colorado,Gunnison,2015,44
Colorado,Jackson,2015,38
Colorado,Jefferson,2015,45
Colorado,La Plata,2015,43
Colorado,Larimer,2015,51
Colorado,Mesa,2015,48
Colorado,Moffat,2015,36
Colorado,Montezuma,2015,44
Colorado,Park,2015,45
Colorado,Pitkin,2015,12
Colorado,Prowers,2015,14
Colorado,Pueblo,2015,25
Colorado,Rio Blanco,2015,46
Colorado,Routt,2015,13
Colorado,San Juan,2015,8
Colorado,San Miguel,2015,44
Colorado,Weld,2015,47
Connecticut,Fairfield,2015,53
Connecticut,Hartford,2015,52
Connecticut,Litchfield,2015,42
Connecticut,Middlesex,2015,43
Connecticut,New Haven,2015,52
Connecticut,New London,2015,40
Connecticut,Tolland,2015,39
Connecticut,Windham,2015,35
Country Of Mexico,BAJA CALIFORNIA NORTE,2015,73
Delaware,Kent,2015,44
Delaware,New Castle,2015,52
Delaware,Sussex,2015,45
District Of Columbia,District of Columbia,2015,53
Florida,Alachua,2015,39
Florida,Baker,2015,32
Florida,Bay,2015,43
Florida,Brevard,2015,39
Florida,Broward,2015,39
Florida,Citrus,2015,32
